"","elev_zone","layer","date","lst"
"302","301-400",1,"2007_09_30",31.9463913
"303","301-400",1,"2007_10_08",32.240413
"304","301-400",1,"2007_10_16",28.0842391
"305","301-400",1,"2007_10_24",29.3941304
"306","301-400",1,"2007_11_01",27.9028913
"307","301-400",1,"2007_11_09",25.9182174
"308","301-400",1,"2007_11_17",25.0372391
"309","301-400",1,"2007_11_25",23.2940652
"310","301-400",1,"2007_12_03",22.0286304
"311","301-400",1,"2007_12_11",17.9890435
"312","301-400",1,"2007_12_19",20.7351522
"313","301-400",1,"2007_12_27",19.7697826
"314","301-400",1,"2008_01_01",18.6345435
"315","301-400",1,"2008_01_09",14.8925
"316","301-400",1,"2008_01_17",15.4741957
"317","301-400",1,"2008_01_25",18.1377174
"318","301-400",1,"2008_02_02",18.7896304
"319","301-400",1,"2008_02_10",22.0690435
"320","301-400",1,"2008_02_18",24.9081739
"321","301-400",1,"2008_02_26",29.4011522
"322","301-400",1,"2008_03_05",29.9091957
"323","301-400",1,"2008_03_13",33.127
"324","301-400",1,"2008_03_21",34.9016957
"325","301-400",1,"2008_03_29",31.6961087
"326","301-400",1,"2008_04_06",32.608087
"327","301-400",1,"2008_04_14",36.7476957
"328","301-400",1,"2008_04_22",41.8733696
"329","301-400",1,"2008_04_30",43.0817391
"330","301-400",1,"2008_05_08",34.5743696
"331","301-400",1,"2008_05_16",35.0745
"332","301-400",1,"2008_05_24",39.2907826
"333","301-400",1,"2008_06_01",35.4704783
"334","301-400",1,"2008_06_09",36.7816087
"335","301-400",1,"2008_06_17",33.823913
"336","301-400",1,"2008_06_25",29.9181087
"337","301-400",1,"2008_07_03",NA
"338","301-400",1,"2008_07_11",27.3443478
"339","301-400",1,"2008_07_19",29.6276063
"340","301-400",1,"2008_08_04",28.57
"341","301-400",1,"2008_08_12",27.7245435
"342","301-400",1,"2008_08_20",28.3425951
"343","301-400",1,"2008_08_28",29.1887609
"344","301-400",1,"2008_09_05",31.3386957
"345","301-400",1,"2008_09_13",29.7450652
"346","301-400",1,"2008_09_21",29.8123478
"347","301-400",1,"2008_09_29",28.2545435
"348","301-400",1,"2008_10_07",28.4683696
"349","301-400",1,"2008_10_15",27.2973043
"350","301-400",1,"2008_10_23",26.9761739
"351","301-400",1,"2008_10_31",27.7691739
"352","301-400",1,"2008_11_08",26.7892391
"353","301-400",1,"2008_11_16",23.9973043
"354","301-400",1,"2008_11_24",23.7415652
"355","301-400",1,"2008_12_02",23.5722391
"356","301-400",1,"2008_12_10",22.2717391
"357","301-400",1,"2008_12_18",19.9710217
"358","301-400",1,"2008_12_26",19.1875435
"359","301-400",1,"2009_01_01",19.1639348
"360","301-400",1,"2009_01_09",19.8730217
"361","301-400",1,"2009_01_17",18.2020652
"362","301-400",1,"2009_01_25",21.056087
"363","301-400",1,"2009_02_02",22.3775435
"364","301-400",1,"2009_02_10",21.3534348
"365","301-400",1,"2009_02_18",25.8645217
"366","301-400",1,"2009_02_26",26.7163261
"367","301-400",1,"2009_03_06",29.7597174
"368","301-400",1,"2009_03_14",31.3935435
"369","301-400",1,"2009_03_22",28.4876304
"370","301-400",1,"2009_03_30",34.2641304
"371","301-400",1,"2009_04_07",35.8648696
"372","301-400",1,"2009_04_15",39.6481522
"373","301-400",1,"2009_04_23",38.7801957
"374","301-400",1,"2009_05_01",41.5427391
"375","301-400",1,"2009_05_09",36.7162391
"376","301-400",1,"2009_05_17",39.1872174
"377","301-400",1,"2009_05_25",38.2922174
"378","301-400",1,"2009_06_02",41.3874783
"379","301-400",1,"2009_06_10",39.7982391
"380","301-400",1,"2009_06_18",45.1227609
"381","301-400",1,"2009_06_26",39.1417391
"382","301-400",1,"2009_07_04",38.0338696
"383","301-400",1,"2009_07_12",34.1776739
"384","301-400",1,"2009_07_28",30.2183436
"385","301-400",1,"2009_08_05",30.8684565
"386","301-400",1,"2009_08_13",27.4489783
"387","301-400",1,"2009_08_21",30.5043913
"388","301-400",1,"2009_08_29",28.2421739
"389","301-400",1,"2009_09_06",30.5154348
"390","301-400",1,"2009_09_14",29.9618913
"391","301-400",1,"2009_09_22",29.3867826
"392","301-400",1,"2009_09_30",30.2673043
"393","301-400",1,"2009_10_08",29.1893696
"394","301-400",1,"2009_10_16",29.2633913
"395","301-400",1,"2009_10_24",28.9849783
"396","301-400",1,"2009_11_01",28.0502391
"397","301-400",1,"2009_11_09",25.4000652
"398","301-400",1,"2009_11_17",23.616
"399","301-400",1,"2009_11_25",22.8492826
"400","301-400",1,"2009_12_03",21.7878043
"401","301-400",1,"2009_12_11",19.8922391
"402","301-400",1,"2009_12_19",19.6362174
"403","301-400",1,"2009_12_27",17.8612609
"404","301-400",1,"2010_01_01",15.9009565
"405","301-400",1,"2010_01_09",18.1625
"406","301-400",1,"2010_01_17",18.534413
"407","301-400",1,"2010_01_25",21.3997174
"408","301-400",1,"2010_02_02",22.1004348
"409","301-400",1,"2010_02_10",23.5156087
"410","301-400",1,"2010_02_18",26.3066522
"411","301-400",1,"2010_02_26",30.315
"412","301-400",1,"2010_03_06",30.540087
"413","301-400",1,"2010_03_14",32.9261957
"414","301-400",1,"2010_03_22",37.1461739
"415","301-400",1,"2010_03_30",37.5836739
"416","301-400",1,"2010_04_07",41.8260217
"417","301-400",1,"2010_04_15",39.2556087
"418","301-400",1,"2010_04_23",39.8633043
"419","301-400",1,"2010_05_01",37.2143043
"420","301-400",1,"2010_05_09",44.1608696
"421","301-400",1,"2010_05_17",43.9355435
"422","301-400",1,"2010_05_25",43.9742826
"423","301-400",1,"2010_06_02",36.6972391
"424","301-400",1,"2010_06_10",37.3838261
"425","301-400",1,"2010_06_18",39.7688478
"426","301-400",1,"2010_06_26",32.6927174
"427","301-400",1,"2010_07_04",29.6638913
"428","301-400",1,"2010_07_12",29.782087
"429","301-400",1,"2010_07_20",26.7653899
"430","301-400",1,"2010_07_28",30.5505627
"431","301-400",1,"2010_08_05",NA
"432","301-400",1,"2010_08_21",28.1129911
"433","301-400",1,"2010_08_29",28.5790145
"434","301-400",1,"2010_09_06",27.2341096
"435","301-400",1,"2010_09_14",26.8668769
"436","301-400",1,"2010_09_22",29.5302609
"437","301-400",1,"2010_09_30",29.7373261
"438","301-400",1,"2010_10_08",28.8173043
"439","301-400",1,"2010_10_16",29.0263043
"440","301-400",1,"2010_10_24",26.0942174
"441","301-400",1,"2010_11_01",26.8589348
"442","301-400",1,"2010_11_09",26.0267391
"443","301-400",1,"2010_11_17",23.943413
"444","301-400",1,"2010_11_25",21.3396522
"445","301-400",1,"2010_12_03",21.1092609
"446","301-400",1,"2010_12_11",20.002413
"447","301-400",1,"2010_12_19",18.9272174
"448","301-400",1,"2010_12_27",16.2499163
"449","301-400",1,"2011_01_01",13.5990889
"450","301-400",1,"2011_01_09",14.376587
"451","301-400",1,"2011_01_17",18.1283913
"452","301-400",1,"2011_01_25",18.4051522
"453","301-400",1,"2011_02_02",21.1706087
"454","301-400",1,"2011_02_10",19.1195217
"455","301-400",1,"2011_02_18",22.828
"456","301-400",1,"2011_02_26",24.7315435
"457","301-400",1,"2011_03_06",27.2676522
"458","301-400",1,"2011_03_14",29.2011304
"459","301-400",1,"2011_03_22",32.561587
"460","301-400",1,"2011_03_30",32.9983478
"461","301-400",1,"2011_04_07",33.8869783
"462","301-400",1,"2011_04_15",35.6757391
"463","301-400",1,"2011_04_23",36.8709565
"464","301-400",1,"2011_05_01",37.3353043
"465","301-400",1,"2011_05_09",41.8322174
"466","301-400",1,"2011_05_17",33.9791739
"467","301-400",1,"2011_05_25",34.5734565
"468","301-400",1,"2011_06_02",34.4591522
"469","301-400",1,"2011_06_10",31.7345217
"470","301-400",1,"2011_06_18",33.048587
"471","301-400",1,"2011_06_26",30.4845217
"472","301-400",1,"2011_07_04",31.2185217
"473","301-400",1,"2011_07_12",30.8911739
"474","301-400",1,"2011_07_28",28.0672676
"475","301-400",1,"2011_08_05",NA
"476","301-400",1,"2011_08_13",NA
"477","301-400",1,"2011_08_29",29.9416522
"478","301-400",1,"2011_09_06",28.5153929
"479","301-400",1,"2011_09_14",28.9986304
"480","301-400",1,"2011_09_22",30.0513478
"481","301-400",1,"2011_09_30",28.5559565
"482","301-400",1,"2011_10_08",31.6425
"483","301-400",1,"2011_10_16",29.803587
"484","301-400",1,"2011_10_24",27.2790652
"485","301-400",1,"2011_11_01",26.8143043
"486","301-400",1,"2011_11_09",25.6146739
"487","301-400",1,"2011_11_17",25.2729348
"488","301-400",1,"2011_11_25",23.9910435
"489","301-400",1,"2011_12_03",23.3901087
"490","301-400",1,"2011_12_11",18.1169565
"491","301-400",1,"2011_12_19",18.5799565
"492","301-400",1,"2011_12_27",21.0207826
"493","301-400",1,"2012_01_01",19.2033442
"494","301-400",1,"2012_01_09",15.5635435
"495","301-400",1,"2012_01_17",18.8164348
"496","301-400",1,"2012_01_25",19.1039348
"497","301-400",1,"2012_02_02",19.4803913
"498","301-400",1,"2012_02_10",19.9851087
"499","301-400",1,"2012_02_18",23.1098913
"500","301-400",1,"2012_02_26",25.9211739
"501","301-400",1,"2012_03_05",25.0600652
"502","301-400",1,"2012_03_13",28.8048913
"503","301-400",1,"2012_03_21",30.4621522
"504","301-400",1,"2012_03_29",34.7634783
"505","301-400",1,"2012_04_06",33.735
"506","301-400",1,"2012_04_14",32.0505
"507","301-400",1,"2012_04_22",37.2427609
"508","301-400",1,"2012_04_30",36.8828913
"509","301-400",1,"2012_05_08",37.0865217
"510","301-400",1,"2012_05_16",39.1646304
"511","301-400",1,"2012_05_24",41.4333261
"512","301-400",1,"2012_06_01",39.1205652
"513","301-400",1,"2012_06_09",42.3126957
"514","301-400",1,"2012_06_17",40.8009783
"515","301-400",1,"2012_06_25",40.3100435
"516","301-400",1,"2012_07_03",37.008906
"517","301-400",1,"2012_07_11",30.8725998
"518","301-400",1,"2012_07_19",33.222
"519","301-400",1,"2012_07_27",27.1734375
"520","301-400",1,"2012_08_04",NA
"521","301-400",1,"2012_08_12",27.3598768
"522","301-400",1,"2012_08_28",24.35
"523","301-400",1,"2012_09_05",30.4451087
"524","301-400",1,"2012_09_13",29.27
"525","301-400",1,"2012_09_21",29.8086304
"526","301-400",1,"2012_09_29",30.2482826
"527","301-400",1,"2012_10_07",29.2882826
"528","301-400",1,"2012_10_15",28.4482174
"529","301-400",1,"2012_10_23",26.9643261
"530","301-400",1,"2012_10_31",26.2395
"531","301-400",1,"2012_11_08",24.240913
"532","301-400",1,"2012_11_16",24.4956304
"533","301-400",1,"2012_11_24",21.9965
"534","301-400",1,"2012_12_02",21.5513261
"535","301-400",1,"2012_12_10",17.882587
"536","301-400",1,"2012_12_18",17.9651739
"537","301-400",1,"2012_12_26",16.9291957
"538","301-400",1,"2013_01_01",9.65
"539","301-400",1,"2013_01_09",19.6843043
"540","301-400",1,"2013_01_17",15.6154348
"541","301-400",1,"2013_01_25",16.8231739
"542","301-400",1,"2013_02_02",19.7935
"543","301-400",1,"2013_02_10",20.4548261
"544","301-400",1,"2013_02_18",21.0440435
"545","301-400",1,"2013_02_26",24.9279348
"546","301-400",1,"2013_03_06",27.748413
"547","301-400",1,"2013_03_14",26.893913
"548","301-400",1,"2013_03_22",22.0157826
"549","301-400",1,"2013_03_30",31.1622609
"550","301-400",1,"2013_04_07",34.1926739
"551","301-400",1,"2013_04_15",34.0468478
"552","301-400",1,"2013_04_23",36.0656957
"553","301-400",1,"2013_05_01",37.5656087
"554","301-400",1,"2013_05_09",40.4602609
"555","301-400",1,"2013_05_17",40.5822826
"556","301-400",1,"2013_05_25",39.6996957
"557","301-400",1,"2013_06_02",37.0488478
"558","301-400",1,"2013_06_18",30.3728043
"559","301-400",1,"2013_06_26",31.6443043
"560","301-400",1,"2013_07_04",28.0377717
"561","301-400",1,"2013_07_20",29.3493057
"562","301-400",1,"2013_07_28",30.9924783
"563","301-400",1,"2013_08_13",NA
"564","301-400",1,"2013_08_21",28.5417391
"565","301-400",1,"2013_08_29",29.1741304
"566","301-400",1,"2013_09_06",28.1043478
"567","301-400",1,"2013_09_14",30.3782826
"568","301-400",1,"2013_09_22",28.6367174
"569","301-400",1,"2013_09_30",29.4110217
"570","301-400",1,"2013_10_08",28.5466739
"571","301-400",1,"2013_10_16",28.2320217
"572","301-400",1,"2013_10_24",27.9855652
"573","301-400",1,"2013_11_01",24.2022391
"574","301-400",1,"2013_11_09",24.0718478
"575","301-400",1,"2013_11_17",23.3562174
"576","301-400",1,"2013_11_25",24.3680217
"577","301-400",1,"2013_12_03",21.8858478
"578","301-400",1,"2013_12_11",21.0886957
"579","301-400",1,"2013_12_19",16.8409565
"580","301-400",1,"2013_12_27",17.6041304
"581","301-400",1,"2014_01_01",15.9046522
"582","301-400",1,"2014_01_09",17.3032609
"583","301-400",1,"2014_01_17",18.3083913
"584","301-400",1,"2014_01_25",18.938913
"585","301-400",1,"2014_02_02",18.3456304
"586","301-400",1,"2014_02_10",19.522413
"587","301-400",1,"2014_02_18",20.9965652
"588","301-400",1,"2014_02_26",20.6276304
"589","301-400",1,"2014_03_06",24.8888043
"590","301-400",1,"2014_03_14",27.3010652
"591","301-400",1,"2014_03_22",26.4495
"592","301-400",1,"2014_03_30",29.6446957
"593","301-400",1,"2014_04_07",30.2635217
"594","301-400",1,"2014_04_15",30.0473478
"595","301-400",1,"2014_04_23",38.4708261
"596","301-400",1,"2014_05_01",37.8426739
"597","301-400",1,"2014_05_09",35.9625
"598","301-400",1,"2014_05_17",37.7718261
"599","301-400",1,"2014_05_25",38.3051739
"600","301-400",1,"2014_06_02",43.3775652
"601","301-400",1,"2014_06_10",40.7279783
"602","301-400",1,"2014_06_18",34.0183261
"603","301-400",1,"2014_06_26",34.7577174
"604","301-400",1,"2014_07_04",31.7773043
"605","301-400",1,"2014_07_20",NA
"606","301-400",1,"2014_07_28",28.0796927
"607","301-400",1,"2014_08_05",29.4312418
"608","301-400",1,"2014_08_13",28.6301522
"609","301-400",1,"2014_08_21",30.8746522
"610","301-400",1,"2014_08_29",32.4056087
"611","301-400",1,"2014_09_06",28.5887174
"612","301-400",1,"2014_09_14",30.9468696
